id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_il_6m,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,issue_d
null,null,35000,35000,35000, 36 months, 17.27%,1252.56,D,D2,Owner,10+ years,RENT,107000,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,900xx,CA,21.88,0,Mar-1996,0,null,47,9,2,65692,92.7%,20,w,21634.04,21634.04,19973.8,19973.8,13365.96,6607.84,0,0,0,Aug-2017,1252.56,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,86057,0,2,2,2,9,20365,88,0,0,24914,92,70900,0,12,0,2,10757,2844,94.1,0,0,157,240,27,9,0,41,null,18,null,0,2,3,4,6,9,7,11,3,9,0,0,0,2,100,50,0,2,93936,86057,48400,23036,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,8000,8000,8000, 36 months, 18.25%,290.23,D,D3,Manager ,9 years,RENT,50000,Source Verified,Late (31-120 days),n,null,null,debt_consolidation,Debt consolidation,907xx,CA,22,0,Oct-2009,0,null,null,15,0,10227,43%,25,w,5392.03,5392.03,4047.0,4047,2607.97,1439.03,0,0,0,Jun-2017,290.23,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,33913,1,2,1,2,12,23686,78,1,5,4010,63,23800,2,2,5,7,2422,0,101.1,0,0,30,77,6,6,0,6,null,2,null,0,3,7,4,5,4,13,19,7,15,0,0,0,2,100,100,0,0,54092,33913,6500,30292,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,5000,5000,5000, 36 months,  6.97%,154.32,A,A3,null,n/a,OWN,25000,Source Verified,Current,n,null,null,major_purchase,Major purchase,179xx,PA,3.31,0,Aug-1988,0,null,null,3,0,2246,34.6%,12,w,2905.82,2905.82,2465.25,2465.25,2094.18,371.07,0,0,0,Aug-2017,154.32,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,2246,0,0,0,0,61,0,null,0,0,1199,35,6500,0,0,1,0,749,3301,26.6,0,0,128,331,108,61,2,108,null,9,null,0,1,2,2,4,2,3,8,2,3,0,0,0,0,100,50,0,0,6500,2246,4500,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,10000,10000,10000, 36 months,  9.75%,321.5,B,B3,ELECTRICIAN,10+ years,MORTGAGE,105000,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,183xx,PA,16.63,3,Jun-1995,1,17,null,14,0,19512,65.5%,32,w,5912.64,5912.64,5133.17,5133.17,4087.36,1045.81,0,0,0,Aug-2017,321.5,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,303803,3,2,1,1,10,23021,58,3,5,3345,61,29800,3,0,1,6,21700,5067,67.3,0,0,145,249,3,3,3,3,17,4,17,0,6,11,6,12,11,11,18,11,14,0,0,0,4,78.1,66.7,0,0,340397,42533,15500,39561,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,24000,24000,24000, 36 months,  9.75%,771.6,B,B3,C&C MACHINE OPERATOR,5 years,MORTGAGE,50000,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,377xx,TN,24.46,0,Aug-1993,0,null,null,8,0,15702,54.1%,14,w,14190.34,14190.34,12351.31,12351.31,9809.66,2541.65,0,0,0,Aug-2017,771.6,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,93535,0,1,0,1,18,30356,null,0,1,6995,54,29000,0,0,0,4,13362,10125,49.4,0,0,18,271,24,18,2,24,null,18,null,0,4,5,4,8,1,6,11,5,8,0,0,0,0,100,25,0,0,113715,46058,20000,36715,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,9600,9600,9600, 36 months,  9.75%,308.64,B,B3,unit leader,10+ years,MORTGAGE,120000,Not Verified,In Grace Period,n,null,null,home_improvement,Home improvement,835xx,ID,13.11,1,Sep-1999,1,15,null,16,0,5375,18.2%,35,w,5939.59,5939.59,4656.31,4656.31,3660.41,995.9,0,0,0,Aug-2017,308.64,Sep-2017,Aug-2017,0,59,1,INDIVIDUAL,null,null,null,0,453,165800,2,3,2,3,7,26846,62,1,2,2437,44,29500,2,14,4,6,10363,14649,25.3,0,0,138,198,0,0,4,41,null,0,null,1,3,4,6,6,17,11,14,4,16,0,0,0,4,91.2,33.3,0,0,207042,32221,19600,43252,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,13000,13000,13000, 60 months,  8.39%,266.03,B,B1,Registered Nurse,2 years,RENT,66000,Source Verified,Current,n,null,null,credit_card,Credit card refinancing,606xx,IL,10.62,0,Sep-2003,0,34,null,12,0,11424,55.7%,19,w,10045.95,10045.95,4289.8,4289.8,2954.05,1335.75,0,0,0,Aug-2017,266.03,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,77071,1,6,0,2,14,65596,113,1,1,5314,86,20500,0,0,0,3,7006,9076,55.7,0,0,150,115,2,2,0,2,null,15,null,0,4,4,4,7,9,4,7,4,11,0,0,0,1,94.4,25,0,0,71768,77071,20500,50941,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,9000,9000,9000, 36 months,  9.16%,286.87,B,B2,Specialty scheduler,9 years,RENT,60000,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,914xx,CA,21.12,0,Jul-2003,0,26,53,10,1,7397,53.2%,22,w,5055.74,5055.74,4853.89,4853.89,3944.26,909.63,0,0,0,Aug-2017,286.87,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,49144,1,2,1,2,4,41747,75,0,1,3036,60,13900,0,2,1,3,4914,3612,61.2,0,0,128,152,24,4,0,24,null,4,26,0,2,5,2,2,5,8,17,5,10,0,0,0,1,94.7,50,1,0,57373,49144,9300,43473,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,18000,18000,18000, 36 months, 12.99%,606.41,C,C2,Lock and Dam Operator,< 1 year,RENT,90000,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,721xx,AR,5.92,0,Feb-2008,1,null,null,10,0,13895,53.9%,17,w,8407.10,8407.1,11782.85,11782.85,9592.9,2189.95,0,0,0,Aug-2017,606.41,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,19315,2,1,0,0,27,5420,64,5,6,4765,56,25800,0,0,2,6,1932,4302,66.9,0,0,97,54,4,4,0,4,null,5,null,0,4,6,6,7,6,9,11,6,10,0,0,0,5,100,50,0,0,34300,19315,13000,8500,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,16000,16000,16000, 36 months,  5.32%,481.84,A,A1,Security specialist ,8 years,RENT,105000,Not Verified,Fully Paid,n,null,null,debt_consolidation,Debt consolidation,206xx,MD,15.02,1,Nov-2000,0,9,null,9,0,6219,27.9%,21,w,0.00,0,16098.34,16098.34,16000,98.34,0,0,0,May-2016,16107.8,null,Nov-2016,0,null,1,INDIVIDUAL,null,null,null,0,0,23525,0,3,2,2,8,17306,69,0,1,3770,50,22300,1,3,1,3,3361,13632,29.7,0,0,124,184,22,8,0,52,null,8,9,0,2,3,2,5,7,6,14,3,9,0,0,0,2,95.2,0,0,0,47543,23525,19400,25243,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
